StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Informed Consent,F_FB_C_D_1,F_FB_C_D_2,F_FB_C_D_3,F_FB_C_D_4,F_FB_C_D_5,F_FB_C_S_1,F_FB_C_S_2,F_FB_C_S_3,F_FB_C_S_4,F_FB_C_S_5,F_L_C_S_1,F_L_C_S_2,F_L_C_S_3,F_L_C_S_4,F_L_C_S_5,F_L_C_D_1,F_L_C_D_2,F_L_C_D_3,F_L_C_D_4,F_L_C_D_5,F_FB_D_D_1,F_FB_D_D_2,F_FB_D_D_3,F_FB_D_D_4,F_FB_D_D_5,F_FB_D_S_1,F_FB_D_S_2,F_FB_D_S_3,F_FB_D_S_4,F_FB_D_S_5,F_L_D_D_1,F_L_D_D_2,F_L_D_D_3,F_L_D_D_4,F_L_D_D_5,F_L_D_S_1,F_L_D_S_2,F_L_D_S_3,F_L_D_S_4,F_L_D_S_5,Fcontrol_1,Fcontrol_2,Fcontrol_3,Fcontrol_4,Fcontrol_5,MControl_1,MControl_2,MControl_3,MControl_4,MControl_5,M_FB_C_D_1,M_FB_C_D_2,M_FB_C_D_3,M_FB_C_D_4,M_FB_C_D_5,M_FB_C_S_1,M_FB_C_S_2,M_FB_C_S_3,M_FB_C_S_4,M_FB_C_S_5,M_L_C_D_1,M_L_C_D_2,M_L_C_D_3,M_L_C_D_4,M_L_C_D_5,M_L_D_S_1,M_L_D_S_2,M_L_D_S_3,M_L_D_S_4,M_L_D_S_5,M_L_C_S_1,M_L_C_S_2,M_L_C_S_3,M_L_C_S_4,M_L_C_S_5,M_L_D_D_1,M_L_D_D_2,M_L_D_D_3,M_L_D_D_4,M_L_D_D_5,M_FB_D_S_1,M_FB_D_S_2,M_FB_D_S_3,M_FB_D_S_4,M_FB_D_S_5,M_FB_D_D_1,M_FB_D_D_2,M_FB_D_D_3,M_FB_D_D_4,M_FB_D_D_5,Age,Country,Gender,Socialmedia,Selfietaking,Country - Topics,FL_6_DO,FemaleStimulus_DO,MaleStimulus_DO
08/05/2018 02:47,08/05/2018 02:54,IP Address,100,453,TRUE,08/05/2018 02:54,R_1LFMFOBvnRmfrWu,anonymous,EN,"I confirm that I have read and understand the participant information for this study (above). I have had the opportunity to ask questions if necessary and have had these answered satisfactorily,I understand that my participation is voluntary and that I am free to withdraw up to four weeks after participation without giving any reason. I understand that if I wish my data to be removed and destroyed, this will be possibly only if  I contact the researcher (Dr Ruth Page),I understand that my personal data will be processed for the purposes detailed above, in accordance with the Data Protection Act 1998,I understand that my answers may be quoted directly in conference presentations and publications, and that if this is the case, no personally identifiable information will be shared,I confirm that I am aged eighteen or over,I confirm that I am a native-level English speaker,Based on the above, I agree to take part in this study",Well,Neither well nor badly,Not at all well,Not at all well,Very well,Well,Not well,Not at all well,Not at all well,Well,Neither well nor badly,Not well,Not at all well,Not well,Neither well nor badly,Well,Not well,Not at all well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Not well,Not at all well,Well,Not well,Well,Not well,Not at all well,Neither well nor badly,Well,Neither well nor badly,Not well,Not at all well,Neither well nor badly,Not well,Neither well nor badly,Neither well nor badly,Not at all well,Well,Not well,Neither well nor badly,Well,Not at all well,Not well,Not at all well,Not well,Neither well nor badly,Not at all well,Well,Not well,Well,Well,Not at all well,Not at all well,Well,Very well,Neither well nor badly,Not at all well,Not at all well,Well,Well,Well,Not at all well,Not at all well,Well,Well,Not well,Not at all well,Well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Not at all well,Well,Neither well nor badly,Neither well nor badly,Not at all well,Not at all well,Neither well nor badly,Neither well nor badly,Very well,Not well,Not at all well,Well,Well,Well,Not well,Not at all well,Not at all well,Well,35,United States of America,Male,"Facebook,Twitter,Tumblr,Instagram",Once a week,,MaleStimulus|FemaleStimulus,F_L_C_D|F_FB_C_S|F_L_D_D|F_FB_D_D|F_L_C_S|F_FB_C_D|Fcontrol|F_FB_D_S|F_L_D_S,M_FB_D_S|M_L_D_D|M_FB_C_S|M_FB_C_D|M_L_C_S|MControl|M_L_D_S|M_FB_D_D|M_L_C_D
08/05/2018 02:47,08/05/2018 02:54,IP Address,100,435,TRUE,08/05/2018 02:54,R_3PmCVStEsSSusvW,anonymous,EN,"I confirm that I have read and understand the participant information for this study (above). I have had the opportunity to ask questions if necessary and have had these answered satisfactorily,I understand that my participation is voluntary and that I am free to withdraw up to four weeks after participation without giving any reason. I understand that if I wish my data to be removed and destroyed, this will be possibly only if  I contact the researcher (Dr Ruth Page),I understand that my personal data will be processed for the purposes detailed above, in accordance with the Data Protection Act 1998,I understand that my answers may be quoted directly in conference presentations and publications, and that if this is the case, no personally identifiable information will be shared,I confirm that I am aged eighteen or over,I confirm that I am a native-level English speaker,Based on the above, I agree to take part in this study",Neither well nor badly,Well,Not well,Not at all well,Neither well nor badly,Well,Well,Not well,Not at all well,Not well,Neither well nor badly,Well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Well,Not at all well,Not at all well,Not at all well,Not well,Neither well nor badly,Well,Not well,Neither well nor badly,Not well,Neither well nor badly,Well,Not well,Not at all well,Not well,Very well,Not at all well,Not at all well,Not at all well,Neither well nor badly,Neither well nor badly,Very well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Very well,Not at all well,Not at all well,Not at all well,Not well,Well,Not well,Neither well nor badly,Well,Neither well nor badly,Not well,Very well,Not well,Not at all well,Well,Not well,Very well,Not well,Not well,Not well,Neither well nor badly,Very well,Neither well nor badly,Neither well nor badly,Not at all well,Neither well nor badly,Well,Not well,Not well,Not well,Not at all well,Well,Neither well nor badly,Neither well nor badly,Not at all well,Well,Not at all well,Not at all well,Not at all well,Not at all well,Well,Not at all well,Not at all well,Not at all well,Not at all well,Well,Not at all well,Not at all well,Not at all well,Not at all well,35,United States,Female,"Facebook,Twitter,Instagram,Snapchat,Whatsapp",Several times a week,,FemaleStimulus|MaleStimulus,F_L_D_D|F_FB_C_D|F_FB_D_S|F_L_D_S|F_FB_D_D|Fcontrol|F_L_C_D|F_FB_C_S|F_L_C_S,M_FB_C_S|M_L_C_S|M_L_C_D|M_FB_C_D|MControl|M_FB_D_S|M_FB_D_D|M_L_D_D|M_L_D_S
08/05/2018 02:50,08/05/2018 02:55,IP Address,100,296,TRUE,08/05/2018 02:55,R_2zC7TeBqeKUpOum,anonymous,EN,"I confirm that I have read and understand the participant information for this study (above). I have had the opportunity to ask questions if necessary and have had these answered satisfactorily,I understand that my participation is voluntary and that I am free to withdraw up to four weeks after participation without giving any reason. I understand that if I wish my data to be removed and destroyed, this will be possibly only if  I contact the researcher (Dr Ruth Page),I understand that my personal data will be processed for the purposes detailed above, in accordance with the Data Protection Act 1998,I understand that my answers may be quoted directly in conference presentations and publications, and that if this is the case, no personally identifiable information will be shared,I confirm that I am aged eighteen or over,I confirm that I am a native-level English speaker,Based on the above, I agree to take part in this study",Well,Not well,Not well,Neither well nor badly,Not well,Neither well nor badly,Well,Neither well nor badly,Neither well nor badly,Not well,Well,Not well,Neither well nor badly,Well,Not well,Well,Not well,Neither well nor badly,Neither well nor badly,Not well,Well,Not well,Neither well nor badly,Neither well nor badly,Not well,Well,Not well,Neither well nor badly,Well,Not well,Well,Not well,Not well,Not well,Not well,Neither well nor badly,Not well,Neither well nor badly,Neither well nor badly,Not well,Not well,Well,Not at all well,Not at all well,Not at all well,Well,Not at all well,Neither well nor badly,Well,Not well,Well,Well,Neither well nor badly,Not well,Not well,Not well,Well,Neither well nor badly,Neither well nor badly,Well,Well,Not well,Neither well nor badly,Well,Not well,Well,Not well,Not well,Well,Not well,Well,Not well,Neither well nor badly,Well,Not well,Well,Not well,Not well,Well,Not well,Well,Not well,Not well,Well,Not well,Well,Not well,Neither well nor badly,Not well,Not well,34,USA,Male,"Facebook,Instagram",Less than once a week,,MaleStimulus|FemaleStimulus,F_L_C_D|F_FB_C_S|F_FB_D_D|F_L_C_S|F_L_D_D|F_FB_D_S|F_FB_C_D|F_L_D_S|Fcontrol,M_FB_D_D|M_L_D_S|M_FB_C_S|M_FB_C_D|M_L_C_D|M_L_D_D|MControl|M_FB_D_S|M_L_C_S
08/05/2018 02:51,08/05/2018 02:55,IP Address,100,197,TRUE,08/05/2018 02:55,R_2CfzT1qBdTQaS2r,anonymous,EN,"I confirm that I have read and understand the participant information for this study (above). I have had the opportunity to ask questions if necessary and have had these answered satisfactorily,I understand that my participation is voluntary and that I am free to withdraw up to four weeks after participation without giving any reason. I understand that if I wish my data to be removed and destroyed, this will be possibly only if  I contact the researcher (Dr Ruth Page),I understand that my personal data will be processed for the purposes detailed above, in accordance with the Data Protection Act 1998,I understand that my answers may be quoted directly in conference presentations and publications, and that if this is the case, no personally identifiable information will be shared,I confirm that I am aged eighteen or over,I confirm that I am a native-level English speaker,Based on the above, I agree to take part in this study",Well,Well,Well,Not well,Neither well nor badly,Well,Well,Well,Not at all well,Well,Well,Well,Well,Not well,Neither well nor badly,Very well,Neither well nor badly,Well,Neither well nor badly,Neither well nor badly,Well,Not at all well,Well,Very well,Neither well nor badly,Well,Neither well nor badly,Well,Neither well nor badly,Well,Well,Not at all well,Well,Neither well nor badly,Neither well nor badly,Well,Neither well nor badly,Neither well nor badly,Well,Not well,Very well,Not at all well,Well,Not well,Neither well nor badly,Well,Neither well nor badly,Well,Neither well nor badly,Neither well nor badly,Well,Very well,Neither well nor badly,Not at all well,Very well,Well,Very well,Well,Not well,Neither well nor badly,Well,Well,Neither well nor badly,Well,Neither well nor badly,Well,Neither well nor badly,Well,Well,Neither well nor badly,Well,Neither well nor badly,Neither well nor badly,Well,Neither well nor badly,Well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Well,Well,Well,Neither well nor badly,Well,Neither well nor badly,Very well,Neither well nor badly,Not well,Neither well nor badly,32,USA,Male,"Facebook,Instagram,Snapchat",Several times a week,,FemaleStimulus|MaleStimulus,Fcontrol|F_FB_C_S|F_FB_D_D|F_L_D_D|F_FB_D_S|F_FB_C_D|F_L_C_S|F_L_D_S|F_L_C_D,M_L_C_S|M_L_D_S|M_FB_D_S|M_FB_C_S|M_L_D_D|M_FB_C_D|M_L_C_D|MControl|M_FB_D_D
08/05/2018 02:46,08/05/2018 02:55,IP Address,100,511,TRUE,08/05/2018 02:55,R_31BKSyfa64HP1wN,anonymous,EN,"I confirm that I have read and understand the participant information for this study (above). I have had the opportunity to ask questions if necessary and have had these answered satisfactorily,I understand that my participation is voluntary and that I am free to withdraw up to four weeks after participation without giving any reason. I understand that if I wish my data to be removed and destroyed, this will be possibly only if  I contact the researcher (Dr Ruth Page),I understand that my personal data will be processed for the purposes detailed above, in accordance with the Data Protection Act 1998,I understand that my answers may be quoted directly in conference presentations and publications, and that if this is the case, no personally identifiable information will be shared,I confirm that I am aged eighteen or over,I confirm that I am a native-level English speaker,Based on the above, I agree to take part in this study",Well,Not well,Well,Well,Not well,Well,Not well,Well,Well,Not well,Well,Not well,Well,Well,Not well,Well,Not well,Well,Well,Not well,Well,Not well,Well,Well,Not at all well,Well,Not well,Well,Well,Not at all well,Well,Not well,Well,Well,Not well,Well,Not well,Well,Well,Not well,Well,Not at all well,Well,Well,Not at all well,Well,Not well,Well,Well,Not well,Well,Not well,Well,Not well,Very well,Very well,Not well,Not well,Not well,Well,Well,Not at all well,Not at all well,Well,Well,Well,Not well,Well,Well,Well,Very well,Not well,Well,Neither well nor badly,Well,Very well,Not at all well,Well,Very well,Well,Very well,Not at all well,Well,Well,Well,Well,Neither well nor badly,Well,Not well,Very well,32,USA,Male,"Facebook,Twitter",Less than once a week,,MaleStimulus|FemaleStimulus,F_FB_C_D|F_FB_C_S|F_FB_D_D|F_L_C_D|F_L_C_S|F_L_D_D|F_L_D_S|F_FB_D_S|Fcontrol,M_L_C_S|M_FB_C_S|M_L_C_D|M_L_D_D|M_FB_D_S|M_FB_D_D|MControl|M_FB_C_D|M_L_D_S
08/05/2018 02:47,08/05/2018 02:55,IP Address,100,486,TRUE,08/05/2018 02:55,R_2X70z6kMctAN5GW,anonymous,EN,"I confirm that I have read and understand the participant information for this study (above). I have had the opportunity to ask questions if necessary and have had these answered satisfactorily,I understand that my participation is voluntary and that I am free to withdraw up to four weeks after participation without giving any reason. I understand that if I wish my data to be removed and destroyed, this will be possibly only if  I contact the researcher (Dr Ruth Page),I understand that my personal data will be processed for the purposes detailed above, in accordance with the Data Protection Act 1998,I understand that my answers may be quoted directly in conference presentations and publications, and that if this is the case, no personally identifiable information will be shared,I confirm that I am aged eighteen or over,I confirm that I am a native-level English speaker,Based on the above, I agree to take part in this study",Well,Neither well nor badly,Not well,Well,Very well,Neither well nor badly,Not at all well,Not well,Well,Not well,Neither well nor badly,Not at all well,Not at all well,Well,Not well,Neither well nor badly,Not at all well,Not at all well,Well,Not at all well,Not well,Not well,Not well,Very well,Not well,Not well,Not well,Not well,Very well,Not well,Not at all well,Not at all well,Not at all well,Not at all well,Not at all well,Well,Not at all well,Neither well nor badly,Neither well nor badly,Not at all well,Not at all well,Not at all well,Not at all well,Not at all well,Not at all well,Not at all well,Not at all well,Neither well nor badly,Well,Not at all well,Not at all well,Neither well nor badly,Not at all well,Not at all well,Not at all well,Not at all well,Neither well nor badly,Not at all well,Not well,Well,Not at all well,Not at all well,Not at all well,Not at all well,Not at all well,Well,Not well,Not well,Well,Not well,Not well,Not well,Not well,Well,Neither well nor badly,Not at all well,Not at all well,Not at all well,Neither well nor badly,Not at all well,Well,Not well,Not well,Well,Not well,Not at all well,Not at all well,Not at all well,Not at all well,Not at all well,32,USA,Male,"Facebook,Twitter,Tumblr,Instagram,Snapchat,Whatsapp",Once a week,,MaleStimulus|FemaleStimulus,F_L_D_S|F_FB_C_D|F_FB_D_D|F_L_C_S|F_L_C_D|F_L_D_D|F_FB_C_S|Fcontrol|F_FB_D_S,M_L_C_S|M_L_D_D|M_FB_D_D|M_FB_D_S|M_L_D_S|MControl|M_FB_C_S|M_FB_C_D|M_L_C_D
08/05/2018 02:53,08/05/2018 02:55,IP Address,100,145,TRUE,08/05/2018 02:55,R_88pkGFnbvdzqahr,anonymous,EN,"I confirm that I have read and understand the participant information for this study (above). I have had the opportunity to ask questions if necessary and have had these answered satisfactorily,I understand that my participation is voluntary and that I am free to withdraw up to four weeks after participation without giving any reason. I understand that if I wish my data to be removed and destroyed, this will be possibly only if  I contact the researcher (Dr Ruth Page),I understand that my personal data will be processed for the purposes detailed above, in accordance with the Data Protection Act 1998,I understand that my answers may be quoted directly in conference presentations and publications, and that if this is the case, no personally identifiable information will be shared,I confirm that I am aged eighteen or over,I confirm that I am a native-level English speaker,Based on the above, I agree to take part in this study",Not well,Neither well nor badly,Neither well nor badly,,Well,Not well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Not well,Not well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Not well,Neither well nor badly,Neither well nor badly,Very well,Not well,Not at all well,Not well,Well,Neither well nor badly,Neither well nor badly,Well,Neither well nor badly,Neither well nor badly,Not well,Neither well nor badly,Not well,Neither well nor badly,Neither well nor badly,Not well,Neither well nor badly,Not well,Neither well nor badly,Not well,Not well,Neither well nor badly,Not well,Not at all well,Neither well nor badly,Neither well nor badly,Not well,Not well,Not well,Neither well nor badly,Well,Not well,Neither well nor badly,Very well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Well,Very well,Well,Not well,Not well,Not well,Not well,Neither well nor badly,Not well,Not well,Neither well nor badly,Not well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Not well,Not at all well,Not at all well,Well,Very well,Not at all well,Neither well nor badly,Well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Not well,Well,Well,Not well,Not well,28,USA,Male,"Facebook,Instagram",Less than once a week,,MaleStimulus|FemaleStimulus,F_L_D_S|F_FB_C_S|Fcontrol|F_L_C_D|F_FB_C_D|F_L_C_S|F_L_D_D|F_FB_D_D|F_FB_D_S,MControl|M_FB_C_S|M_L_C_D|M_FB_D_D|M_L_D_D|M_FB_D_S|M_FB_C_D|M_L_C_S|M_L_D_S
08/05/2018 02:49,08/05/2018 02:55,IP Address,100,345,TRUE,08/05/2018 02:55,R_12bCqvtGGItk41k,anonymous,EN,"I confirm that I have read and understand the participant information for this study (above). I have had the opportunity to ask questions if necessary and have had these answered satisfactorily,I confirm that I am a native-level English speaker,Based on the above, I agree to take part in this study",Well,Well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Well,Well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Well,Neither well nor badly,Neither well nor badly,Well,Well,Well,Neither well nor badly,Neither well nor badly,Well,Well,Well,Neither well nor badly,Neither well nor badly,Well,Well,Well,Neither well nor badly,Neither well nor badly,Well,Well,Well,Well,Well,Well,Well,Well,Neither well nor badly,Neither well nor badly,Well,Well,Well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Well,Well,Well,Well,Well,Well,Neither well nor badly,Neither well nor badly,Well,Neither well nor badly,Neither well nor badly,Well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Well,Well,Well,Well,Well,Well,Neither well nor badly,Neither well nor badly,Well,Neither well nor badly,Well,Well,Well,Neither well nor badly,Well,Well,Well,Well,Well,Well,Well,Well,Neither well nor badly,Well,Neither well nor badly,Well,Well,Well,Neither well nor badly,Neither well nor badly,43,united state,Male,"Facebook,Twitter,Instagram",,,MaleStimulus|FemaleStimulus,F_L_D_S|Fcontrol|F_L_C_D|F_L_C_S|F_L_D_D|F_FB_D_D|F_FB_D_S|F_FB_C_D|F_FB_C_S,M_FB_D_S|M_FB_C_D|MControl|M_L_C_S|M_L_D_S|M_L_D_D|M_FB_D_D|M_L_C_D|M_FB_C_S
08/05/2018 02:46,08/05/2018 02:55,IP Address,100,548,TRUE,08/05/2018 02:55,R_vHX97MxhKaawffz,anonymous,EN,"I confirm that I have read and understand the participant information for this study (above). I have had the opportunity to ask questions if necessary and have had these answered satisfactorily,I understand that my participation is voluntary and that I am free to withdraw up to four weeks after participation without giving any reason. I understand that if I wish my data to be removed and destroyed, this will be possibly only if  I contact the researcher (Dr Ruth Page),I understand that my personal data will be processed for the purposes detailed above, in accordance with the Data Protection Act 1998,I understand that my answers may be quoted directly in conference presentations and publications, and that if this is the case, no personally identifiable information will be shared,I confirm that I am aged eighteen or over,I confirm that I am a native-level English speaker,Based on the above, I agree to take part in this study",Neither well nor badly,Not well,Well,Well,Neither well nor badly,Not well,Not well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Well,Well,Neither well nor badly,Not well,Not well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Not well,Well,Well,Well,Not well,Not well,Not well,Neither well nor badly,Neither well nor badly,Well,Well,Well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Well,Well,Not well,Neither well nor badly,Neither well nor badly,Well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Not well,Not well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Not well,Not well,Well,Neither well nor badly,Neither well nor badly,Not well,Well,Not well,Not well,Neither well nor badly,Well,Well,Neither well nor badly,Not well,Not well,Well,Well,Not well,Not well,Not well,Not well,Neither well nor badly,Well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Well,Well,26,USA,Female,Facebook,Less than once a week,,FemaleStimulus|MaleStimulus,F_FB_C_D|F_FB_C_S|F_L_C_D|F_FB_D_S|F_L_D_D|F_L_C_S|Fcontrol|F_L_D_S|F_FB_D_D,M_FB_C_S|M_FB_D_D|M_L_D_D|M_FB_D_S|M_FB_C_D|M_L_D_S|M_L_C_D|MControl|M_L_C_S
08/05/2018 02:51,08/05/2018 02:56,IP Address,100,263,TRUE,08/05/2018 02:56,R_Xz9CbvSPBUjVt3b,anonymous,EN,"I confirm that I have read and understand the participant information for this study (above). I have had the opportunity to ask questions if necessary and have had these answered satisfactorily,I understand that my participation is voluntary and that I am free to withdraw up to four weeks after participation without giving any reason. I understand that if I wish my data to be removed and destroyed, this will be possibly only if  I contact the researcher (Dr Ruth Page),I understand that my personal data will be processed for the purposes detailed above, in accordance with the Data Protection Act 1998,I understand that my answers may be quoted directly in conference presentations and publications, and that if this is the case, no personally identifiable information will be shared,I confirm that I am aged eighteen or over,I confirm that I am a native-level English speaker,Based on the above, I agree to take part in this study",Not well,Very well,Well,Very well,Well,Not well,Well,Not at all well,Very well,Neither well nor badly,Well,Not at all well,Not at all well,,Not well,Well,Not at all well,Neither well nor badly,Neither well nor badly,Not well,Neither well nor badly,Well,Well,Not at all well,Neither well nor badly,Not well,Not well,Not well,Very well,Well,Not well,Well,Neither well nor badly,Not at all well,Not well,Well,Not at all well,Not at all well,Not well,Well,Not at all well,Very well,Neither well nor badly,Not at all well,Not at all well,Not at all well,Not well,Neither well nor badly,Very well,Not at all well,Not at all well,Very well,Not at all well,Not at all well,Not at all well,Not at all well,Very well,Very well,Not at all well,Not at all well,Not well,Well,Not at all well,Not at all well,Not at all well,Not at all well,Well,Not at all well,Very well,Not at all well,Not at all well,Very well,Very well,Well,Not at all well,Well,Very well,Well,Very well,Not at all well,Not at all well,Very well,Not well,Not well,Not at all well,Not at all well,Very well,Not at all well,Not at all well,Not at all well,29,US,Male,"Facebook,Twitter,Tumblr,Instagram,Whatsapp",Once a week,,FemaleStimulus|MaleStimulus,F_L_D_S|F_L_C_S|F_FB_D_D|F_L_C_D|F_L_D_D|F_FB_C_D|F_FB_C_S|Fcontrol|F_FB_D_S,M_L_C_D|M_FB_D_D|M_FB_C_S|M_L_C_S|M_FB_D_S|M_L_D_D|MControl|M_FB_C_D|M_L_D_S
08/05/2018 02:50,08/05/2018 02:56,IP Address,100,353,TRUE,08/05/2018 02:56,R_3hu8ydZa6P722wg,anonymous,EN,"I confirm that I have read and understand the participant information for this study (above). I have had the opportunity to ask questions if necessary and have had these answered satisfactorily,I understand that my participation is voluntary and that I am free to withdraw up to four weeks after participation without giving any reason. I understand that if I wish my data to be removed and destroyed, this will be possibly only if  I contact the researcher (Dr Ruth Page),I understand that my personal data will be processed for the purposes detailed above, in accordance with the Data Protection Act 1998,I understand that my answers may be quoted directly in conference presentations and publications, and that if this is the case, no personally identifiable information will be shared,I confirm that I am aged eighteen or over,I confirm that I am a native-level English speaker,Based on the above, I agree to take part in this study",Well,Not at all well,Not well,Not well,Neither well nor badly,Well,Not at all well,Not well,Not well,Neither well nor badly,Well,Not at all well,Neither well nor badly,Not well,Not at all well,Well,Not at all well,Not at all well,Well,Not at all well,Well,Not at all well,Not at all well,Well,Not at all well,Well,Not at all well,Not well,Not at all well,Not well,Well,Not well,Not well,Well,Not at all well,Well,Not at all well,Not at all well,Neither well nor badly,Not at all well,Not well,Not at all well,Not at all well,Not well,Not at all well,Well,Not at all well,Not at all well,Well,Not at all well,Well,Not at all well,Not at all well,Not well,Neither well nor badly,Well,Not at all well,Not well,Not well,Well,Well,Not at all well,Not at all well,Well,Not at all well,Well,Not at all well,Not at all well,Neither well nor badly,Not well,Well,Not at all well,Not at all well,Well,Not well,Well,Not at all well,Not at all well,Well,Not at all well,Well,Not well,Not well,Not well,Not well,Well,Not at all well,Not at all well,Not well,Not well,33,USA,Female,"Facebook,Twitter",Less than once a week,,FemaleStimulus|MaleStimulus,F_L_C_S|F_FB_D_S|F_FB_C_D|F_FB_C_S|F_FB_D_D|F_L_D_D|F_L_C_D|F_L_D_S|Fcontrol,M_FB_D_S|M_FB_D_D|M_L_D_D|M_FB_C_S|M_L_D_S|M_L_C_D|M_FB_C_D|MControl|M_L_C_S
08/05/2018 02:51,08/05/2018 02:56,IP Address,100,319,TRUE,08/05/2018 02:56,R_sMwotrLiV18d7RT,anonymous,EN,"I confirm that I have read and understand the participant information for this study (above). I have had the opportunity to ask questions if necessary and have had these answered satisfactorily,I understand that my participation is voluntary and that I am free to withdraw up to four weeks after participation without giving any reason. I understand that if I wish my data to be removed and destroyed, this will be possibly only if  I contact the researcher (Dr Ruth Page),I understand that my personal data will be processed for the purposes detailed above, in accordance with the Data Protection Act 1998,I understand that my answers may be quoted directly in conference presentations and publications, and that if this is the case, no personally identifiable information will be shared,I confirm that I am aged eighteen or over,I confirm that I am a native-level English speaker,Based on the above, I agree to take part in this study",Neither well nor badly,Not well,Not at all well,Well,Neither well nor badly,Neither well nor badly,Not at all well,Not at all well,Well,Neither well nor badly,Neither well nor badly,Not at all well,Not at all well,Well,Not at all well,Well,Not at all well,Not at all well,Well,Not well,Neither well nor badly,Not at all well,Not at all well,Well,Neither well nor badly,Well,Not at all well,Not at all well,Well,Not well,Not well,Not at all well,Not at all well,Not well,Not at all well,Well,Not at all well,Not at all well,Neither well nor badly,Not well,Neither well nor badly,Not well,Not at all well,Not well,Not at all well,Well,Not well,Not at all well,Not well,Not well,Neither well nor badly,Not at all well,Not at all well,Not at all well,Very well,Well,Not well,Not at all well,Not well,Well,Well,Not well,Not at all well,Not well,Well,Neither well nor badly,Not well,Not well,Not well,Well,Neither well nor badly,Neither well nor badly,Not well,Not well,Well,Very well,Not at all well,Not at all well,Not well,Well,Very well,Not at all well,Not at all well,Not at all well,Well,Very well,Not at all well,Not at all well,Not at all well,Very well,38,USA,Male,"Facebook,Twitter,Instagram",Less than once a week,,MaleStimulus|FemaleStimulus,F_FB_D_S|F_L_D_S|F_FB_C_D|F_L_C_D|F_L_C_S|Fcontrol|F_FB_C_S|F_L_D_D|F_FB_D_D,M_FB_D_S|M_L_C_S|M_L_D_D|M_FB_D_D|M_L_D_S|M_FB_C_S|M_FB_C_D|M_L_C_D|MControl
08/05/2018 02:51,08/05/2018 02:56,IP Address,100,328,TRUE,08/05/2018 02:56,R_3LcKAO7GoELxB6C,anonymous,EN,"I confirm that I have read and understand the participant information for this study (above). I have had the opportunity to ask questions if necessary and have had these answered satisfactorily,I understand that my participation is voluntary and that I am free to withdraw up to four weeks after participation without giving any reason. I understand that if I wish my data to be removed and destroyed, this will be possibly only if  I contact the researcher (Dr Ruth Page),I understand that my personal data will be processed for the purposes detailed above, in accordance with the Data Protection Act 1998,I understand that my answers may be quoted directly in conference presentations and publications, and that if this is the case, no personally identifiable information will be shared,I confirm that I am aged eighteen or over,I confirm that I am a native-level English speaker,Based on the above, I agree to take part in this study",Well,Well,Not at all well,Not well,Very well,Well,Well,Not well,Not well,Very well,Well,Neither well nor badly,Not well,Not well,Very well,Well,Well,Not at all well,Not well,Very well,Well,Well,Not at all well,Not well,Very well,Well,Neither well nor badly,Not well,Not well,Very well,Well,Well,Not well,Not at all well,Very well,Very well,Not well,Not well,Not at all well,Very well,Not well,Neither well nor badly,Not at all well,Not well,Very well,Very well,Not well,Not well,Neither well nor badly,Very well,Not well,Very well,Not at all well,Not at all well,Very well,Not well,Well,Not well,Not at all well,Very well,Not at all well,Not well,Not well,Not at all well,Not well,Not well,Neither well nor badly,Not well,Not well,Not well,Not well,Well,Not well,Not well,Neither well nor badly,Well,Not well,Not well,Not well,Neither well nor badly,Not well,Very well,Not at all well,Not at all well,Very well,Neither well nor badly,Very well,Not well,Not well,Very well,38,USA,Female,Facebook,Less than once a week,,MaleStimulus|FemaleStimulus,F_FB_D_S|F_L_C_S|F_FB_C_D|F_L_D_D|Fcontrol|F_FB_C_S|F_L_C_D|F_FB_D_D|F_L_D_S,MControl|M_FB_D_S|M_FB_C_D|M_L_D_D|M_L_D_S|M_L_C_S|M_L_C_D|M_FB_C_S|M_FB_D_D
